timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734340209199,46,MIT/themes/mit/assets/favicon/favicon.svg-12,200,OK,Thread Group For 100 Users 2-2,text,true,,904,611,2,3,https://www.mit.edu/themes/mit/assets/favicon/favicon.svg,46,0,0
1734340209199,46,MIT/q/cl?count=3-40,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,510,2,3,https://tlesearch.mit.edu/q/cl?count=3,0,0,0
1734340209239,49,MIT/q/clim?count=3-42,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,512,1,3,https://tlesearch.mit.edu/q/clim?count=3,0,0,0
1734340209245,61,MIT/q/clim?count=3-42,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,512,2,3,https://tlesearch.mit.edu/q/clim?count=3,0,0,0
1734340209289,58,MIT/q/clima?count=3-43,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,513,1,3,https://tlesearch.mit.edu/q/clima?count=3,0,0,0
1734340209306,44,MIT/q/clima?count=3-43,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,513,2,3,https://tlesearch.mit.edu/q/clima?count=3,0,0,0
1734340209245,112,MIT/search-39,200,OK,Thread Group For 100 Users 2-2,text,true,,10216,1445,2,3,https://www.mit.edu/search/?q=climate+change,61,0,0
1734340209245,61,MIT/search-39-0,301,Moved Permanently,Thread Group For 100 Users 2-2,text,true,,723,722,2,3,https://www.mit.edu/search?q=climate+change,61,0,0
1734340209306,51,MIT/search-39-1,200,OK,Thread Group For 100 Users 2-2,text,true,,9493,723,2,3,https://www.mit.edu/search/?q=climate+change,51,0,0
1734340209347,55,MIT/search/-48,200,OK,Thread Group For 50 Users 1-1,text,true,,9493,723,1,3,https://www.mit.edu/search/?q=climate+change,55,0,0
1734340209350,57,MIT/search/-48,200,OK,Thread Group For 100 Users 2-1,text,true,,9493,723,2,3,https://www.mit.edu/search/?q=climate+change,57,0,0
1734340209403,55,MIT/q/climate%20c?count=3-51,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,519,1,3,https://tlesearch.mit.edu/q/climate%20c?count=3,0,0,0
1734340209408,50,MIT/q/climate%20c?count=3-51,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,519,2,3,https://tlesearch.mit.edu/q/climate%20c?count=3,0,0,0
1734340209458,53,MIT/q/climate%20chan?count=3-53,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,522,1,3,https://tlesearch.mit.edu/q/climate%20chan?count=3,0,0,0
1734340209358,153,MIT/q/cli?count=3-41,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,511,2,3,https://tlesearch.mit.edu/q/cli?count=3,0,0,101
1734340209458,53,MIT/q/climate%20chan?count=3-53,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,522,2,3,https://tlesearch.mit.edu/q/climate%20chan?count=3,0,0,0
1734340209511,45,MIT/q/climate%20chang?count=3-55,204,No Content,Thread Group For 100 Users 2-1,text,true,,527,523,2,3,https://tlesearch.mit.edu/q/climate%20chang?count=3,0,0,0
1734340209511,45,MIT/q/climat?count=3-44,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,514,2,3,https://tlesearch.mit.edu/q/climat?count=3,0,0,0
1734340209511,45,MIT/q/climate%20chang?count=3-55,204,No Content,Thread Group For 50 Users 1-1,text,true,,527,523,1,3,https://tlesearch.mit.edu/q/climate%20chang?count=3,0,0,0
1734340209557,46,MIT/q/climate%20chan?count=3-54,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,522,1,3,https://tlesearch.mit.edu/q/climate%20chan?count=3,0,0,0
1734340209557,47,MIT/q/climate?count=3-45,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,515,2,3,https://tlesearch.mit.edu/q/climate?count=3,0,0,0
1734340209556,63,MIT/q/climate%20chan?count=3-54,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,522,2,3,https://tlesearch.mit.edu/q/climate%20chan?count=3,0,0,0
1734340209604,50,MIT/q/cl?count=3-40,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,510,2,3,https://tlesearch.mit.edu/q/cl?count=3,0,0,0
1734340209603,51,MIT/q/climate%20ch?count=3-52,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,520,1,3,https://tlesearch.mit.edu/q/climate%20ch?count=3,0,0,0
1734340209620,56,MIT/q/climate%20ch?count=3-52,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,520,2,3,https://tlesearch.mit.edu/q/climate%20ch?count=3,0,0,0
1734340209654,49,MIT/q/clim?count=3-42,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,512,2,3,https://tlesearch.mit.edu/q/clim?count=3,0,0,0
1734340209654,62,MIT/themes/mit/assets/js/modernizr.js-63,200,OK,Thread Group For 50 Users 1-1,text,true,,6147,578,1,3,https://www.mit.edu/themes/mit/assets/js/modernizr.js?rzw0g3,62,0,0
1734340209703,44,MIT/q/clima?count=3-43,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,513,2,3,https://tlesearch.mit.edu/q/clima?count=3,0,0,0
1734340209717,43,MIT/q/climate%20?count=3-50,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,518,1,3,https://tlesearch.mit.edu/q/climate%20?count=3,0,0,0
1734340209676,105,MIT/themes/mit/assets/js/modernizr.js-63,200,OK,Thread Group For 100 Users 2-1,text,true,,6147,578,2,3,https://www.mit.edu/themes/mit/assets/js/modernizr.js?rzw0g3,105,0,0
1734340209747,54,MIT/search/-48,200,OK,Thread Group For 100 Users 2-2,text,true,,9493,723,2,3,https://www.mit.edu/search/?q=climate+change,53,0,0
1734340209782,46,MIT/q/climate%20?count=3-50,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,518,2,3,https://tlesearch.mit.edu/q/climate%20?count=3,0,0,0
1734340209802,43,MIT/q/climate%20c?count=3-51,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,519,2,3,https://tlesearch.mit.edu/q/climate%20c?count=3,0,0,0
1734340209845,50,MIT/q/climate%20chan?count=3-53,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,522,2,3,https://tlesearch.mit.edu/q/climate%20chan?count=3,0,0,0
1734340209761,168,MIT/themes/mit/assets/css/main.css-62,200,OK,Thread Group For 50 Users 1-1,text,true,,72654,589,2,4,https://www.mit.edu/themes/mit/assets/css/main.css?rzw0g3,66,0,0
1734340209896,52,MIT/q/climate%20chang?count=3-55,204,No Content,Thread Group For 100 Users 2-2,text,true,,527,523,2,4,https://tlesearch.mit.edu/q/climate%20chang?count=3,0,0,0
1734340209828,206,MIT/themes/mit/assets/css/main.css-62,200,OK,Thread Group For 100 Users 2-1,text,true,,72654,589,3,5,https://www.mit.edu/themes/mit/assets/css/main.css?rzw0g3,65,0,0
1734340209948,87,MIT/q/climate%20chan?count=3-54,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,522,3,5,https://tlesearch.mit.edu/q/climate%20chan?count=3,0,0,0
1734340210035,67,MIT/q/climate%20ch?count=3-52,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,520,3,5,https://tlesearch.mit.edu/q/climate%20ch?count=3,0,0,0
1734340209923,299,MIT/-1,200,OK,Thread Group For 50 Users 1-2,text,true,,12615,727,2,5,https://www.mit.edu/,299,0,179
1734340210102,120,MIT/themes/mit/assets/js/modernizr.js-63,200,OK,Thread Group For 100 Users 2-2,text,true,,6147,578,3,5,https://www.mit.edu/themes/mit/assets/js/modernizr.js?rzw0g3,120,0,0
1734340210223,51,MIT/q/climate%20?count=3-50,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,518,3,5,https://tlesearch.mit.edu/q/climate%20?count=3,0,0,0
1734340210223,68,MIT/themes/mit/assets/favicon/favicon.svg-12,200,OK,Thread Group For 50 Users 1-2,text,true,,904,611,2,5,https://www.mit.edu/themes/mit/assets/favicon/favicon.svg,68,0,0
1734340210005,332,MIT/-1,200,OK,Thread Group For 100 Users 2-3,text,true,,12615,727,3,5,https://www.mit.edu/,332,0,269
1734340210338,88,MIT/themes/mit/assets/favicon/favicon.svg-12,200,OK,Thread Group For 100 Users 2-3,text,true,,904,611,3,5,https://www.mit.edu/themes/mit/assets/favicon/favicon.svg,88,0,0
1734340210274,164,MIT/themes/mit/assets/css/main.css-62,200,OK,Thread Group For 100 Users 2-2,text,true,,72654,589,3,5,https://www.mit.edu/themes/mit/assets/css/main.css?rzw0g3,81,0,0
1734340210291,169,MIT/search-39,200,OK,Thread Group For 50 Users 1-2,text,true,,10216,1445,2,5,https://www.mit.edu/search/?q=climate+change,99,0,0
1734340210291,99,MIT/search-39-0,301,Moved Permanently,Thread Group For 50 Users 1-2,text,true,,723,722,2,5,https://www.mit.edu/search?q=climate+change,99,0,0
1734340210390,70,MIT/search-39-1,200,OK,Thread Group For 50 Users 1-2,text,true,,9493,723,2,5,https://www.mit.edu/search/?q=climate+change,69,0,0
1734340209931,544,MIT/themes/mit/assets/js/main.js-64,200,OK,Thread Group For 50 Users 1-1,text,false,"The operation lasted too long: It took 544 milliseconds, but should not have lasted longer than 400 milliseconds.",374645,573,2,5,https://www.mit.edu/themes/mit/assets/js/main.js?rzw0g3,87,0,0
1734340210476,49,MIT/q/climate%20change?count=3-67,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,524,2,5,https://tlesearch.mit.edu/q/climate%20change?count=3,0,0,0
1734340210427,123,MIT/search-39,200,OK,Thread Group For 100 Users 2-3,text,true,,10216,1445,3,5,https://www.mit.edu/search/?q=climate+change,57,0,0
1734340210427,57,MIT/search-39-0,301,Moved Permanently,Thread Group For 100 Users 2-3,text,true,,723,722,3,5,https://www.mit.edu/search?q=climate+change,57,0,0
1734340210484,66,MIT/search-39-1,200,OK,Thread Group For 100 Users 2-3,text,true,,9493,723,3,5,https://www.mit.edu/search/?q=climate+change,66,0,0
1734340210526,100,MIT/q/climate%20change?count=3-65,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,524,2,5,https://tlesearch.mit.edu/q/climate%20change?count=3,0,0,0
1734340210460,233,MIT/q/cli?count=3-41,204,No Content,Thread Group For 50 Users 1-2,text,true,,528,511,2,5,https://tlesearch.mit.edu/q/cli?count=3,0,0,138
1734340210627,79,MIT/themes/mit/assets/js/CombinedSearch.68627c63c12e4144b6e6.js-75,200,OK,Thread Group For 50 Users 1-1,text,true,,12341,597,2,5,https://www.mit.edu/themes/mit/assets/js/CombinedSearch.68627c63c12e4144b6e6.js,79,0,0
1734340210034,672,MIT/themes/mit/assets/js/main.js-64,200,OK,Thread Group For 100 Users 2-1,text,false,"The operation lasted too long: It took 672 milliseconds, but should not have lasted longer than 400 milliseconds.",374645,573,3,5,https://www.mit.edu/themes/mit/assets/js/main.js?rzw0g3,188,0,0
1734340210693,50,MIT/q/climat?count=3-44,204,No Content,Thread Group For 50 Users 1-2,text,true,,528,514,2,5,https://tlesearch.mit.edu/q/climat?count=3,0,0,0
1734340210706,53,MIT/q/climate%20change?count=3-67,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,524,3,5,https://tlesearch.mit.edu/q/climate%20change?count=3,0,0,0
1734340210706,60,MIT/q/climate%20change-79,204,No Content,Thread Group For 50 Users 1-1,text,true,,528,516,2,5,https://tlesearch.mit.edu/q/climate%20change,0,0,0
1734340210551,218,MIT/q/cli?count=3-41,204,No Content,Thread Group For 100 Users 2-3,text,true,,528,511,3,5,https://tlesearch.mit.edu/q/cli?count=3,0,0,161
1734340210743,46,MIT/q/climate?count=3-45,204,No Content,Thread Group For 50 Users 1-2,text,true,,528,515,2,5,https://tlesearch.mit.edu/q/climate?count=3,0,0,0
1734340210759,47,MIT/q/climate%20change?count=3-65,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,524,3,5,https://tlesearch.mit.edu/q/climate%20change?count=3,0,0,0
1734340210766,48,MIT/q/climate%20change-83,200,OK,Thread Group For 50 Users 1-1,text,true,,2977,636,2,5,https://tlesearch.mit.edu/q/climate%20change,48,0,0
1734340210769,45,MIT/q/climat?count=3-44,204,No Content,Thread Group For 100 Users 2-3,text,true,,528,514,3,5,https://tlesearch.mit.edu/q/climat?count=3,0,0,0
1734340210438,376,MIT/themes/mit/assets/js/main.js-64,200,OK,Thread Group For 100 Users 2-2,text,true,,374645,573,3,5,https://www.mit.edu/themes/mit/assets/js/main.js?rzw0g3,61,0,0
1734340210790,48,MIT/q/cl?count=3-40,204,No Content,Thread Group For 50 Users 1-2,text,true,,528,510,2,5,https://tlesearch.mit.edu/q/cl?count=3,0,0,0
1734340210814,45,MIT/q/climate?count=3-45,204,No Content,Thread Group For 100 Users 2-3,text,true,,528,515,3,5,https://tlesearch.mit.edu/q/climate?count=3,0,0,0
1734340210814,45,MIT/q/climate%20change?count=3-67,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,524,3,5,https://tlesearch.mit.edu/q/climate%20change?count=3,0,0,0
1734340210806,62,MIT/themes/mit/assets/js/CombinedSearch.68627c63c12e4144b6e6.js-75,200,OK,Thread Group For 100 Users 2-1,text,true,,12341,597,3,5,https://www.mit.edu/themes/mit/assets/js/CombinedSearch.68627c63c12e4144b6e6.js,62,0,0
1734340210838,45,MIT/q/clim?count=3-42,204,No Content,Thread Group For 50 Users 1-2,text,true,,528,512,2,5,https://tlesearch.mit.edu/q/clim?count=3,0,0,0
1734340210859,43,MIT/q/cl?count=3-40,204,No Content,Thread Group For 100 Users 2-3,text,true,,528,510,3,5,https://tlesearch.mit.edu/q/cl?count=3,0,0,0
1734340210859,44,MIT/q/climate%20change?count=3-65,204,No Content,Thread Group For 100 Users 2-2,text,true,,528,524,3,5,https://tlesearch.mit.edu/q/climate%20change?count=3,0,0,0
1734340210868,43,MIT/q/climate%20change-79,204,No Content,Thread Group For 100 Users 2-1,text,true,,528,516,3,5,https://tlesearch.mit.edu/q/climate%20change,0,0,0
