timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734340286290,21734,News/-301,200,OK,Thread Group For 100 Users 2-1,text,false,"The operation lasted too long: It took 21,734 milliseconds, but should not have lasted longer than 4,800 milliseconds.",38105,693,100,150,https://news.mit.edu/,16431,0,15623
1734340308023,1354,News/sites/default/files/styles/frontpage__featured_news/public/images/202411/ai-in-medicine.jpg-304,200,OK,Thread Group For 100 Users 2-1,bin,true,,25643,681,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202411/ai-in-medicine.jpg?itok=Et-7f8HD,176,0,0
1734340309377,100808,News/sites/default/files/styles/frontpage__featured_news/public/images/202412/MIT-data-debias-01.jpg-305,200,OK,Thread Group For 100 Users 2-1,bin,false,"The operation lasted too long: It took 100,808 milliseconds, but should not have lasted longer than 4,800 milliseconds.",170740,685,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202412/MIT-data-debias-01.jpg?itok=RGniKCme,4559,0,0
1734340410185,2750,News/sites/default/files/styles/frontpage__featured_news/public/images/202412/MIT_Smallest-Asteroid-01-PRESS.jpg-306,200,OK,Thread Group For 100 Users 2-1,bin,true,,72090,697,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202412/MIT_Smallest-Asteroid-01-PRESS.jpg?itok=aZFOQUSG,1880,0,1171
1734340412936,8099,News/sites/default/files/styles/frontpage__featured_news/public/images/202412/Construction-waste.jpg-307,200,OK,Thread Group For 100 Users 2-1,bin,false,"The operation lasted too long: It took 8,099 milliseconds, but should not have lasted longer than 4,800 milliseconds.",106894,685,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202412/Construction-waste.jpg?itok=N0G86hZC,402,0,0
1734340421036,14239,News/sites/default/files/styles/frontpage__featured_news/public/images/202412/MIT-AI2050-01-press.jpg-308,200,OK,Thread Group For 100 Users 2-1,bin,false,"The operation lasted too long: It took 14,239 milliseconds, but should not have lasted longer than 4,800 milliseconds.",87624,686,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202412/MIT-AI2050-01-press.jpg?itok=AsHpY0Sw,2225,0,0
1734340435275,12945,News/sites/default/files/styles/frontpage__featured_news/public/images/202412/Daniela-Rus-JSA.jpg-310,200,OK,Thread Group For 100 Users 2-1,bin,false,"The operation lasted too long: It took 12,945 milliseconds, but should not have lasted longer than 4,800 milliseconds.",72173,682,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202412/Daniela-Rus-JSA.jpg?itok=q9N0Z0J-,3086,0,0
1734340448233,21090,News/sites/default/files/styles/frontpage__featured_news/public/images/202412/hale-bradt-mit-00_0.jpg-309,200,OK,Thread Group For 100 Users 2-1,bin,false,"The operation lasted too long: It took 21,090 milliseconds, but should not have lasted longer than 4,800 milliseconds.",178742,686,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202412/hale-bradt-mit-00_0.jpg?itok=HibDeCoF,2533,0,0
1734340469323,9872,News/sites/default/files/styles/frontpage__featured_news/public/images/202412/mit-womens-cross-country-champions.jpg-311,200,OK,Thread Group For 100 Users 2-1,bin,false,"The operation lasted too long: It took 9,872 milliseconds, but should not have lasted longer than 4,800 milliseconds.",82033,701,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202412/mit-womens-cross-country-champions.jpg?itok=JabfOILC,3651,0,0
1734340479196,20317,News/sites/default/files/styles/frontpage__featured_news/public/images/202411/cop16-Coalition-of-Cities.jpg-312,200,OK,Thread Group For 100 Users 2-1,bin,false,"The operation lasted too long: It took 20,317 milliseconds, but should not have lasted longer than 4,800 milliseconds.",73317,692,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202411/cop16-Coalition-of-Cities.jpg?itok=BuYC1zp9,11436,0,11327
1734340499512,21277,News/sites/default/files/styles/frontpage__featured_news/public/images/202411/mit-josephine-carstensen-david-mcgee.png-313,200,OK,Thread Group For 100 Users 2-1,bin,false,"The operation lasted too long: It took 21,277 milliseconds, but should not have lasted longer than 4,800 milliseconds.",159114,703,100,150,https://news.mit.edu/sites/default/files/styles/frontpage__featured_news/public/images/202411/mit-josephine-carstensen-david-mcgee.png?itok=3yvfpe0l,1090,0,0
