timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1734340212865,105,Research/research-182,200,OK,Thread Group For 100 Users 2-1,text,true,,13135,1427,5,8,https://www.mit.edu/research/,47,0,0
1734340212865,47,Research/research-182-0,301,Moved Permanently,Thread Group For 100 Users 2-1,text,true,,693,713,5,8,https://www.mit.edu/research,47,0,0
1734340212912,58,Research/research-182-1,200,OK,Thread Group For 100 Users 2-1,text,true,,12442,714,5,8,https://www.mit.edu/research/,58,0,0
1734340212970,56,Research/research/-184,200,OK,Thread Group For 100 Users 2-1,text,true,,12442,714,6,9,https://www.mit.edu/research/,55,0,0
1734340213026,102,Research/themes/mit/assets/css/main.css-186,200,OK,Thread Group For 100 Users 2-1,text,true,,72654,574,6,9,https://www.mit.edu/themes/mit/assets/css/main.css?s4h9fq,60,0,0
1734340213003,138,Research/research-182,200,OK,Thread Group For 100 Users 2-2,text,true,,13135,1427,6,9,https://www.mit.edu/research/,50,0,0
1734340213003,50,Research/research-182-0,301,Moved Permanently,Thread Group For 100 Users 2-2,text,true,,693,713,6,9,https://www.mit.edu/research,50,0,0
1734340213053,88,Research/research-182-1,200,OK,Thread Group For 100 Users 2-2,text,true,,12442,714,6,9,https://www.mit.edu/research/,88,0,0
1734340213141,129,Research/research/-184,200,OK,Thread Group For 100 Users 2-2,text,true,,12442,714,6,9,https://www.mit.edu/research/,129,0,0
1734340213128,355,Research/files/images/201807/MIT-Sole-Vibes_0.jpg-187,200,OK,Thread Group For 100 Users 2-1,bin,true,,171048,623,6,9,https://www.mit.edu/files/images/201807/MIT-Sole-Vibes_0.jpg,124,0,0
1734340213271,259,Research/themes/mit/assets/css/main.css-186,200,OK,Thread Group For 100 Users 2-2,text,true,,72654,574,6,9,https://www.mit.edu/themes/mit/assets/css/main.css?s4h9fq,257,0,0
1734340213530,223,Research/files/images/201807/MIT-Sole-Vibes_0.jpg-187,200,OK,Thread Group For 100 Users 2-2,bin,true,,171048,623,6,9,https://www.mit.edu/files/images/201807/MIT-Sole-Vibes_0.jpg,87,0,0
1734340213484,302,Research/files/images/201807/MIT-Brain-Drug-Delivery-03.jpg-188,200,OK,Thread Group For 100 Users 2-1,bin,true,,167421,633,6,9,https://www.mit.edu/files/images/201807/MIT-Brain-Drug-Delivery-03.jpg,59,0,0
1734340213753,339,Research/files/images/201807/MIT-Brain-Drug-Delivery-03.jpg-188,200,OK,Thread Group For 100 Users 2-2,bin,true,,167421,633,7,11,https://www.mit.edu/files/images/201807/MIT-Brain-Drug-Delivery-03.jpg,75,0,0
1734340214092,55,Research/themes/mit/assets/img/cursors/pause.svg-194,200,OK,Thread Group For 100 Users 2-2,text,true,,762,650,7,11,https://www.mit.edu/themes/mit/assets/img/cursors/pause.svg,55,0,0
1734340213787,360,Research/themes/mit/assets/img/cursors/pause.svg-194,200,OK,Thread Group For 100 Users 2-1,text,true,,762,650,7,11,https://www.mit.edu/themes/mit/assets/img/cursors/pause.svg,360,0,0
1734340214147,48,Research/themes/mit/assets/js/modernizr.js-192,200,OK,Thread Group For 100 Users 2-2,text,true,,6147,563,7,11,https://www.mit.edu/themes/mit/assets/js/modernizr.js?s4h9fq,48,0,0
1734340214147,53,Research/themes/mit/assets/js/modernizr.js-192,200,OK,Thread Group For 100 Users 2-1,text,true,,6147,563,7,11,https://www.mit.edu/themes/mit/assets/js/modernizr.js?s4h9fq,53,0,0
1734340214196,47,Research/themes/mit/assets/img/cursors/plus.svg-195,200,OK,Thread Group For 100 Users 2-2,text,true,,750,649,7,11,https://www.mit.edu/themes/mit/assets/img/cursors/plus.svg,47,0,0
1734340214200,45,Research/themes/mit/assets/img/cursors/plus.svg-195,200,OK,Thread Group For 100 Users 2-1,text,true,,750,649,7,11,https://www.mit.edu/themes/mit/assets/img/cursors/plus.svg,45,0,0
1734340214273,308,Research/research-182,200,OK,Thread Group For 100 Users 2-3,text,true,,13135,1427,7,11,https://www.mit.edu/research/,88,0,0
1734340214273,88,Research/research-182-0,301,Moved Permanently,Thread Group For 100 Users 2-3,text,true,,693,713,7,11,https://www.mit.edu/research,88,0,0
1734340214361,220,Research/research-182-1,200,OK,Thread Group For 100 Users 2-3,text,true,,12442,714,7,11,https://www.mit.edu/research/,219,0,0
1734340214243,385,Research/themes/mit/assets/js/main.js-193,200,OK,Thread Group For 100 Users 2-2,text,true,,374645,558,7,11,https://www.mit.edu/themes/mit/assets/js/main.js?s4h9fq,146,0,0
1734340214581,58,Research/research/-184,200,OK,Thread Group For 100 Users 2-3,text,true,,12442,714,7,11,https://www.mit.edu/research/,57,0,0
1734340214629,43,Research/themes/mit/assets/js/PauseVideo.44487d0c747ba929687f.js-204,200,OK,Thread Group For 100 Users 2-2,text,true,,1535,578,7,11,https://www.mit.edu/themes/mit/assets/js/PauseVideo.44487d0c747ba929687f.js,43,0,0
1734340214639,73,Research/themes/mit/assets/css/main.css-186,200,OK,Thread Group For 100 Users 2-3,text,true,,72654,574,7,11,https://www.mit.edu/themes/mit/assets/css/main.css?s4h9fq,55,0,0
1734340214673,67,Research/themes/mit/assets/js/lazysizes-unveilhooks.3bbadeef1592cbebc3d2.js-207,200,OK,Thread Group For 100 Users 2-2,text,true,,8492,589,7,11,https://www.mit.edu/themes/mit/assets/js/lazysizes-unveilhooks.3bbadeef1592cbebc3d2.js,67,0,0
1734340214740,469,Research/themes/mit/assets/js/lazysizes.86d137a321e96feaa1d0.js-206,200,OK,Thread Group For 100 Users 2-2,text,true,,7053,577,8,12,https://www.mit.edu/themes/mit/assets/js/lazysizes.86d137a321e96feaa1d0.js,469,0,0
1734340214245,967,Research/themes/mit/assets/js/main.js-193,200,OK,Thread Group For 100 Users 2-1,text,true,,374645,558,8,12,https://www.mit.edu/themes/mit/assets/js/main.js?s4h9fq,59,0,0
1734340215209,57,Research/themes/mit/assets/js/Gallery.65ba9fc3e65cbdd959e3.js-203,200,OK,Thread Group For 100 Users 2-2,text,true,,2636,575,8,12,https://www.mit.edu/themes/mit/assets/js/Gallery.65ba9fc3e65cbdd959e3.js,57,0,0
1734340215213,53,Research/themes/mit/assets/js/PauseVideo.44487d0c747ba929687f.js-204,200,OK,Thread Group For 100 Users 2-1,text,true,,1535,578,8,12,https://www.mit.edu/themes/mit/assets/js/PauseVideo.44487d0c747ba929687f.js,53,0,0
1734340214712,595,Research/files/images/201807/MIT-Sole-Vibes_0.jpg-187,200,OK,Thread Group For 100 Users 2-3,bin,true,,171048,623,8,12,https://www.mit.edu/files/images/201807/MIT-Sole-Vibes_0.jpg,73,0,0
1734340215266,357,Research/themes/mit/assets/js/lazysizes-unveilhooks.3bbadeef1592cbebc3d2.js-207,200,OK,Thread Group For 100 Users 2-1,text,true,,8492,589,8,12,https://www.mit.edu/themes/mit/assets/js/lazysizes-unveilhooks.3bbadeef1592cbebc3d2.js,357,0,0
1734340215307,317,Research/files/images/201807/MIT-Brain-Drug-Delivery-03.jpg-188,200,OK,Thread Group For 100 Users 2-3,bin,true,,167421,633,8,12,https://www.mit.edu/files/images/201807/MIT-Brain-Drug-Delivery-03.jpg,180,0,0
1734340215623,56,Research/themes/mit/assets/js/lazysizes.86d137a321e96feaa1d0.js-206,200,OK,Thread Group For 100 Users 2-1,text,true,,7053,577,8,12,https://www.mit.edu/themes/mit/assets/js/lazysizes.86d137a321e96feaa1d0.js,56,0,0
1734340215624,55,Research/themes/mit/assets/img/cursors/pause.svg-194,200,OK,Thread Group For 100 Users 2-3,text,true,,762,650,8,12,https://www.mit.edu/themes/mit/assets/img/cursors/pause.svg,55,0,0
1734340215679,47,Research/themes/mit/assets/js/Gallery.65ba9fc3e65cbdd959e3.js-203,200,OK,Thread Group For 100 Users 2-1,text,true,,2636,575,8,12,https://www.mit.edu/themes/mit/assets/js/Gallery.65ba9fc3e65cbdd959e3.js,47,0,0
